FID,OBJECTID,KEY_ID,VALUE,TYPE,FEATURECOD,FEATUREGUI,EPSCREATET,EPSMODIFYT,PROJECTID,MAPSCALE,SECURITY,UPDATEREGI,UPDATETIME,YEWBH,YEWID,DESCRIPTIO,X,Y
79,279190,231055,7.200000000000000,0,839100,{BB551D5A-5884-4AC8-B966-65FD56247892},2010/4/7 0:00:00,2012/4/14 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35964.330999999998312,-16188.728999999999360
80,279191,231056,7.300000000000000,0,839100,{3C83E75B-9920-4831-9BC2-CBB184ADE7F1},2010/4/7 0:00:00,2012/8/1 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35906.387999999999010,-16071.263999999999214
81,279192,232311,7.500000000000000,0,839100,{CAE76F3D-BBE9-4109-9A1E-9338D20DDF4A},2010/4/7 0:00:00,2012/8/20 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35337.411999999996624,-16487.371999999999389
82,279193,232312,7.400000000000000,0,839100,{6569B2AD-439E-44DA-8DC5-2E088208795C},2010/4/7 0:00:00,2012/8/20 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35382.344060000003083,-16588.559492000000319
83,279612,232308,4.300000000000000,0,839100,{182751B1-383A-4F07-AB84-980DDE0175BE},2010/4/7 0:00:00,2012/4/15 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34722.177000000003318,-16794.824000000000524
84,279891,232205,5.910000000000000,0,839100,{66B7EF68-9A63-4241-A84C-1CB4617BF4F3},2010/4/7 0:00:00,2012/4/23 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33602.182999999997264,-15816.846999999999753
85,279896,232302,5.980000000000000,-1,839100,{97535117-C82D-4B20-BD10-6811567E204B},2010/4/7 0:00:00,2012/4/21 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33766.991981099999975,-16230.264690100000735
86,280283,232447,7.300000000000000,0,839100,{B573F2B0-7A5F-497F-8DF5-C397AD1793C0},2010/4/7 0:00:00,2012/6/20 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,36456.309999999997672,-17244.041000000001077
87,280547,232507,7.400000000000000,0,839100,{C4D278F6-438D-4E4E-9324-438CB684EE81},2010/4/7 0:00:00,2012/6/10 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35943.187491899996530,-17709.967039499999373
88,280548,337082,7.400000000000000,-1,839100,{F9B8F0EA-4D08-4964-A425-AD5A5180AC89},2010/12/29 0:00:00,2012/6/10 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35898.155504000002111,-17605.449502200001007
89,280716,232212,7.400000000000000,0,839100,{32F423DE-14D9-4337-8DD5-65FE4057BCCA},2010/4/7 0:00:00,2012/8/19 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34979.449000000000524,-15821.433999999999287
90,280717,232213,7.600000000000000,0,839100,{68FD5897-557D-44F5-937E-6B8C543A8789},2010/4/7 0:00:00,2012/8/19 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34875.921999999998661,-15632.424999999999272
91,280718,232222,4.600000000000000,0,839100,{730D6E69-24CD-4CCB-8731-3FD40AEC34D5},2010/4/7 0:00:00,2012/8/1 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34347.495999999999185,-15966.845999999999549
92,280735,232429,4.400000000000000,0,839100,{9C4C0E94-E7F7-4B3E-BE55-61BDBB3379F4},2010/4/7 0:00:00,2012/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34763.078999999997905,-16884.726999999998952
93,280736,232433,7.500000000000000,0,839100,{50303329-2BBF-49F5-BF81-C3C7F1D9BAB7},2010/4/7 0:00:00,2012/8/20 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35508.814957100003085,-16873.900895499999024
